post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49799083,"9 Ads per Minute: FIFA Cup 26 – ""the price of the beautiful game""",sports,53,41,KellyCriterion,2026-09-22 17:04:05.832758,0.7592592592592593,False
49798597,Verda (Finland) raises $189M in Series B,technology,16,6,cmrdporcupine,2026-09-22 17:04:05.832864,0.35294117647058826,False
49792342,Transformers Explained Visually,technology,444,67,aray07,2026-09-22 17:04:05.832895,0.15056179775280898,True
49799287,JetBrains Air: A System of Products for Agentic Software Development,technology,11,6,FinnLobsien,2026-09-22 17:04:05.832985,0.5,False
49797982,I said no and Apple said yes,technology,258,186,thatslast,2026-09-22 17:04:05.833005,0.7181467181467182,True
49792067,"AI coding has made CI a bottleneck, so we reworked ours to keep up",technology,250,283,julian_digital,2026-09-22 17:04:05.833021,1.1274900398406376,True
49791939,NASA’s Mars Sample Return mission is dead,science,400,334,Muhammad523,2026-09-22 17:04:05.833079,0.8329177057356608,True
49794736,Looking forward to Git 2.56 – and 3.0,worldnews,139,67,chmaynard,2026-09-22 17:04:05.833087,0.4785714285714286,True
49780175,What It's Like to Work in One of America's Data Centers,technology,16,9,JumpCrisscross,2026-09-22 17:04:05.833110,0.5294117647058824,False
49787142,Python Workers are now generally available,technology,235,38,torutofu,2026-09-22 17:04:05.833147,0.16101694915254236,True
49789228,HERMES radio enables voice and data communication over vast distances,technology,147,61,SamuraiLion,2026-09-22 17:04:05.833154,0.41216216216216217,True
49791647,Frontier AI on Your Own Hardware,technology,166,83,pretext,2026-09-22 17:04:05.833208,0.49700598802395207,True
49798451,"Study: Young users (9 to 18Y) ditch Google for AI, with unknown consequences",technology,50,86,giuliomagnifico,2026-09-22 17:04:05.833231,1.6862745098039216,False
49791378,Why does mathmain need an encrypted loader?,technology,132,39,abhisek,2026-09-22 17:04:05.833235,0.2932330827067669,False
49791509,"US halts flights at busy East Coast airports, says fiber line cut",technology,222,132,allanbreyes,2026-09-22 17:04:05.833301,0.5919282511210763,True
49783133,Show HN: Mini-AGI – Dynamic continual learning model trained on 8GB VRAM,technology,263,60,volotat,2026-09-22 17:04:05.833308,0.22727272727272727,True
49796843,Jev introduces a new shape of LLM,technology,36,8,benwerd,2026-09-22 17:04:05.833338,0.21621621621621623,False
49783274,"TXR: An Original, New Programming Language for Convenient Data Munging",technology,31,6,andsoitis,2026-09-22 17:04:05.833344,0.1875,False
49789356,Show HN: Foremerge – Catch intent conflicts between parallel coding agents,sports,42,13,naw103,2026-09-22 17:04:05.833366,0.3023255813953488,False
49775104,The LLMentalist Effect (2023),technology,226,304,jalev,2026-09-22 17:04:05.833381,1.3392070484581498,True
49747070,How to Write with an LLM,technology,746,410,joeriddles,2026-09-22 17:04:05.833401,0.5488621151271754,True
49786210,The End Of Upward Mobility – AI is coming for the meritocracy,technology,55,33,meep_meep_meep,2026-09-22 17:04:05.833407,0.5892857142857143,False
49787535,macOS 27: Workaround to avoid downloading AI models and save storage,technology,230,113,ano-ther,2026-09-22 17:04:05.833450,0.48917748917748916,True
49786419,Show HN: Lossless-memory – a personal AI memory that never summarizes,technology,62,27,aru-labs,2026-09-22 17:04:05.833466,0.42857142857142855,False
49797177,Why AI resembles a charismatic religious leader,technology,17,2,billybuckwheat,2026-09-22 17:04:05.833503,0.1111111111111111,False
49772961,Spain orders blocks on Archive.today and its mirrors,technology,537,423,latein,2026-09-22 17:04:05.833516,0.7862453531598513,True
49764791,AI-generated posters don’t have to be horrible,technology,1867,948,ereiamjh,2026-09-22 17:04:05.833530,0.5074946466809421,True
49797034,"Nearly half of young people trust AI over a human for fact-checking, report says",technology,13,14,austinallegro,2026-09-22 17:04:05.833546,1.0,False
49778022,Resident Evil 4 (GameCube) – complete byte-identical decompilation to C/C++,sports,134,97,metrofun,2026-09-22 17:04:05.833568,0.7185185185185186,False
49776523,Show HN: A competition for small neural networks that play strategy games,sports,106,40,codetiger,2026-09-22 17:04:05.833587,0.37383177570093457,False
49797105,The secret Cold War bioweapons test that exposed millions in the Bay Area,worldnews,15,4,bcaulfield,2026-09-22 17:04:05.833633,0.25,False
49775082,The Millennium Problems for Biology,science,159,118,artninja1988,2026-09-22 17:04:05.833651,0.7375,True
49777539,Show HN: Radius – A Meetup.com Alternative,entertainment,161,76,radius89,2026-09-22 17:04:05.833668,0.4691358024691358,True
49797139,Apple Music to open concert venue in Battersea Power Station,entertainment,58,78,dabinat,2026-09-22 17:04:05.833717,1.3220338983050848,False
49781693,Why Backprop Goes Backward (2018),worldnews,69,10,andsoitis,2026-09-22 17:04:05.833807,0.14285714285714285,False
49789066,"Show HN: Vellum, the best diagram editor you'll ever use",entertainment,16,9,JoshJamesAnthon,2026-09-22 17:04:05.833871,0.5294117647058824,False
49755378,A custom virtual machine for the Stars 4X game,sports,107,37,ibobev,2026-09-22 17:04:05.833924,0.3425925925925926,False
49791978,Microsoft patents system to freeze games and inject ads during downtimes,sports,40,14,ricobecks,2026-09-22 17:04:05.833984,0.34146341463414637,False
49765354,Show HN: Sigabrt.dev – cronjob monitor with an SSH TUI,entertainment,78,35,4815162342,2026-09-22 17:04:05.834092,0.4430379746835443,False
49784336,Disney+: New user agreement allows ads before movies in all subscriptions,entertainment,499,354,DeepLogin,2026-09-22 17:04:05.834122,0.708,True
49766966,Brood War Bench,worldnews,342,154,benswerd,2026-09-22 17:04:05.834257,0.4489795918367347,True
49746626,How SpaceX streamlined the Raptor engine,science,244,124,JumpCrisscross,2026-09-22 17:04:05.834328,0.5061224489795918,True
49781727,Show HN: Gdocs-me-up: a high-fidelity Google Docs exporter,entertainment,20,8,behdad,2026-09-22 17:04:05.834356,0.38095238095238093,False
49781032,"Show HN: Lightspeed, build real time apps the Laravel way (+asteroids demo)",entertainment,17,5,jv22222,2026-09-22 17:04:05.834759,0.2777777777777778,False
49749724,Warez: The Infrastructure and Aesthetics of Piracy (2021),worldnews,220,120,succinct_ideas,2026-09-22 17:04:05.834808,0.5429864253393665,True
49748553,Show HN: Cactus Needle 3: 8-29MB automation models can match DeepSeek V4 Flash,entertainment,236,92,HenryNdubuaku,2026-09-22 17:04:05.834867,0.3881856540084388,True
49785168,Show HN: A GUI for non programmers for Epic's version control system Lore,entertainment,5,1,m_niedoba,2026-09-22 17:04:05.834919,0.16666666666666666,False
49746346,"Show HN: Snapdrop: Instantly share files between devices. No setup, no signup",entertainment,110,51,Capira,2026-09-22 17:04:05.834976,0.4594594594594595,False
49782439,Show HN: Ambits – agentic grep/rg tool will history tracking,entertainment,5,0,joshLong145,2026-09-22 17:04:05.835010,0.0,False
49792076,Show HN: A website that tracks US food prices every day,entertainment,28,9,hubraumhugo,2026-09-22 17:04:05.835066,0.3103448275862069,False
49748041,"Show HN: Scry, programmable internet search w/ congestion pricing",entertainment,60,26,Xyra,2026-09-22 17:04:05.835132,0.4262295081967213,False
49744416,Show HN: Ax-check.com – Can agents use your product?,entertainment,37,39,0x63_Problems,2026-09-22 17:04:05.835416,1.0263157894736843,False
49781194,"The addiction of online sports gambling: ""Like crack in the '80s""",sports,28,23,dzonga,2026-09-22 17:04:05.835426,0.7931034482758621,False
49786038,Probes into Toronto's shooter-for-hire network thwarted by impenetrable phone,worldnews,22,7,throw0101a,2026-09-22 17:04:05.835437,0.30434782608695654,False
49780807,"30 years after Civ2, Eivind IV built his own 4X game (Genesis)",sports,6,3,JohnHammersley,2026-09-22 17:04:05.835492,0.42857142857142855,False
49753878,An empirical study of harness design for coding agents,science,224,59,wek,2026-09-22 17:04:05.835560,0.26222222222222225,True
49770157,Show HN: Frost – frosted-glass Linux icons where file types say what they are,entertainment,13,1,thissayantan,2026-09-22 17:04:05.835609,0.07142857142857142,False
49742714,Whoisinspace.com/,science,137,90,Egg-Man,2026-09-22 17:04:05.835619,0.6521739130434783,True
49787523,Uber arbitration award over Emily Normandin-Parker’s death,worldnews,158,183,dataflow,2026-09-22 17:04:05.835744,1.150943396226415,True
49770890,Show HN: Rubrol – Sub-10ms PDF engine using Typst instead of Headless Chrome,entertainment,14,3,halfradaition,2026-09-22 17:04:05.835796,0.2,False
49776910,Show HN: Ifso.io – Personal finance simulator with no sign up required,entertainment,8,3,timer_interrupt,2026-09-22 17:04:05.835823,0.3333333333333333,False
49770603,"Show HN: Set, offline Markdown note-taking app with device-to-device sync",entertainment,10,3,aavshr,2026-09-22 17:04:05.835838,0.2727272727272727,False
49735979,"Jev Ultrafast: A browser agent with a dynamic, indexed action space",science,91,14,rahimnathwani,2026-09-22 17:04:05.835851,0.15217391304347827,False
49754687,Second Circuit allows government to search electronic devices at the border,worldnews,130,79,HotGarbage,2026-09-22 17:04:05.835869,0.6030534351145038,False
49744174,Show HN: I wrote a custom assembler for CHIP-8 in C++,entertainment,28,8,tack1234,2026-09-22 17:04:05.835934,0.27586206896551724,False
49763311,Show HN: Seal – Letters and passwords that open for your family after you die,entertainment,13,13,jpage2,2026-09-22 17:04:05.835951,0.9285714285714286,False
49758028,Border agents can search cellphones without a warrant or reasonable suspicion,worldnews,232,197,mmh0000,2026-09-22 17:04:05.836077,0.8454935622317596,True
49755337,Build Faster Feedback Loops Using Qualitative User Research,science,27,3,nadis,2026-09-22 17:04:05.836113,0.10714285714285714,False
49781110,The viewers ditching streaming 'rot' in favour of DVDs,entertainment,15,4,billybuckwheat,2026-09-22 17:04:05.836141,0.25,False
49790448,Alzheimer's disease starting to be considered a treatable condition – study,science,10,0,theanonymousone,2026-09-22 17:04:05.836190,0.0,False
49740047,Show HN: I built a new version of my fun spatial 3D online meeting app,entertainment,98,53,pawelwentpawel,2026-09-22 17:04:05.836214,0.5353535353535354,False
49762099,Show HN: LiveWorld – Every 24/7 YouTube live camera on one globe,entertainment,42,37,harisingh1612,2026-09-22 17:04:05.836231,0.8604651162790697,False
49746075,A Netflix documentary led to resurrecting a 9/11 memorial,entertainment,21,0,rafaelc,2026-09-22 17:04:05.836274,0.0,False
49771881,Show HN: Bastardica – Create bastard web fonts,entertainment,5,0,MitPitt,2026-09-22 17:04:05.836317,0.0,False
49777841,US Revokes Limits on Power Plants' Climate Pollution,worldnews,257,263,DeepLogin,2026-09-22 17:04:05.836430,1.0193798449612403,True
49746963,Show HN: Free game to destroy any web page,sports,20,7,alexreardon,2026-09-22 17:04:05.836448,0.3333333333333333,False
49773797,Google Pixel phones pwned in zero-click attacks,worldnews,21,1,fsflover,2026-09-22 17:04:05.836488,0.045454545454545456,False
49760758,"Valve has open-sourced Lepton, its tool to bring Android games to Steam",sports,34,3,robotnikman,2026-09-22 17:04:05.836814,0.08571428571428572,False
49777309,The $100M ETF Built on Research That Doesn't Replicate,science,8,3,ashgreat,2026-09-22 17:04:05.836848,0.3333333333333333,False
49770322,What happens to TLDs when their country stops existing?,worldnews,13,5,lr0,2026-09-22 17:04:05.836904,0.35714285714285715,False
49775667,Crypto Blew Its Big Moment–and the Blame Game Has Begun,sports,8,2,lsowen,2026-09-22 17:04:05.836966,0.2222222222222222,False
49783406,"Far-left party wins Berlin election, pledging to nationalise housing",worldnews,71,150,theanonymousone,2026-09-22 17:04:10.747758,2.0833333333333335,False
