category,story_count,average_score,average_comments
entertainment,25,63.88,36.32
science,9,144.44444444444446,82.77777777777777
sports,11,52.54545454545455,25.454545454545453
technology,24,251.25,139.33333333333334
worldnews,13,129.92307692307693,95.38461538461539
